"ID","LINK","SOCIAL_NETWORK_NAME","INFLUENCER_ID","SOCIAL_NETWORK_USER_ID"
"5980","https://www.instagram.com/dounga.k","Instagram","5930","7485672244"
"5981","https://www.instagram.com/midi30","Instagram","5931","31472554"
"5982","https://www.instagram.com/lallala3roussa30","Instagram","5932",
"5983","https://www.instagram.com/nabila.gz","Instagram","5933",
"5984","https://www.instagram.com/islem_abidat","Instagram","5934",
"5985","https://www.instagram.com/cristiurbi","Instagram","5935","210249176"
"5986","https://www.instagram.com/victormelida","Instagram","5936","376467501"
"5987","https://www.instagram.com/aarongwin1","Instagram","5937","246401353"
"5988","https://www.instagram.com/las_ratitas_pandilleras","Instagram","5938","4306165544"
"5989","https://www.instagram.com/martaa_diiaz","Instagram","5939","1436866247"
"5990","https://www.instagram.com/maestro_migran","Instagram","5940","1101918881"
"5991","https://www.instagram.com/xfarganxyt","Instagram","5941","11554600087"
"5992","https://www.instagram.com/marinacomes","Instagram","5942","240163565"
"5993","https://www.instagram.com/thetoretegg1","Instagram","5943",
"5994","https://www.instagram.com/estebanchavesbta","Instagram","5944","292070620"
"5995","https://www.instagram.com/theshootercoc","Instagram","5945","2189309457"
"5996","https://www.instagram.com/redbullbike/","Instagram","5946","3999827868"
"5997","https://www.instagram.com/kokettashop","Instagram","5947","275632558"
"5998","https://www.instagram.com/joanmir36official","Instagram","5948","344791346"
"5999","https://www.instagram.com/isabelfigueira.oficial","Instagram","5949","1884159"
"6000","https://www.instagram.com/nexxuzofficial","Instagram","5950","218731317"
"6051","https://www.instagram.com/socialbond","Instagram","6001","2022475476"
"6052","https://www.instagram.com/tonibou","Instagram","6002","287592598"
"6053","https://www.instagram.com/monsterenergy","Instagram","6003","14653744"
"6054","https://www.instagram.com/jonnywalker_22","Instagram","6004","31142842"
"6055","https://www.instagram.com/vanesabasanta","Instagram","6005","743483150"
"6056","https://www.instagram.com/teeteenteta/","Instagram","6006",
"6057","https://www.instagram.com/rosepalhares/","Instagram","6007","27439345"
"6058","https://www.instagram.com/travelgirlboss/","Instagram","6008","28859624"
"6059","https://www.instagram.com/silvianjoki/","Instagram","6009","233655399"
"6060","https://www.instagram.com/bakedonline/","Instagram","6010","299032983"
"6061","https://www.instagram.com/jocelynenkiambi/","Instagram","6011","23532848974"
"6062","https://www.instagram.com/is_editorial","Instagram","6012","1530545348"
"6063","https://www.instagram.com/perola_pearl/","Instagram","6013","359091455"
"6064","https://www.instagram.com/sorayadapiedade/","Instagram","6014","224512366"
"6065","https://www.instagram.com/ShelfInc/","Instagram","6015","584800892"
"6066","https://www.instagram.com/somayanabildesigns/","Instagram","6016","313650832"
"6067","https://www.instagram.com/styleismything/","Instagram","6017","25322397"
"6068","https://www.instagram.com/MustLuvvShoes/","Instagram","6018","1445587427"
"6069","https://www.instagram.com/crystal_kasper/","Instagram","6019","192704635"
"6070","https://www.instagram.com/theduodesk/","Instagram","6020",
"6071","https://www.instagram.com/_yaramel/","Instagram","6021","1593391524"
"6072","https://www.instagram.com/dailynation/","Instagram","6022",
"6073","https://www.instagram.com/ihssanebenalluch/","Instagram","6023","604373732"
"6074","https://www.instagram.com/iammariaborges/","Instagram","6024","259980760"
"6075","https://www.instagram.com/gracianoleirivan_twenty20/","Instagram","6025",
"6076","https://www.instagram.com/luvvie/","Instagram","6026","1127295"
"6077","https://www.instagram.com/custodiachineva/","Instagram","6027","1588141762"
"6078","https://www.instagram.com/officialamilnaestevao","Instagram","6028","736078499"
"6079","https://www.instagram.com/_ruben.chiquete_","Instagram","6029",
