"INFLUENCER_ID","COUNTRY_CODE"
"6343","Antarctica"
"6344","Antarctica"
"6345","Antarctica"
"6346","Antarctica"
"6347","Antarctica"
"6348","Antarctica"
"6349","Antarctica"
"6350","Antarctica"
"6401","Antarctica"
"6402","Antarctica"
"6403","Antarctica"
"6404","Antarctica"
"6405","Antarctica"
"6406","Antarctica"
"6407","Antarctica"
"6408","Antarctica"
"6409","Antarctica"
"6410","Antarctica"
"6411","Antarctica"
"6412","Antarctica"
"6413","Antarctica"
"6414","Antarctica"
"6415","Antarctica"
"6416","Antarctica"
"6417","Antarctica"
"6418","Antarctica"
"6419","Antarctica"
"6420","Antarctica"
"6421","Antarctica"
"6422","Antarctica"
"6423","Antarctica"
"6424","Antarctica"
"6425","Antarctica"
"6426","Antarctica"
"6427","Antarctica"
"6428","Antarctica"
"6429","Antarctica"
"6430","Antarctica"
"6431","Antarctica"
"6432","Antarctica"
"6433","Antarctica"
"6434","Antarctica"
"6435","Antarctica"
"6436","Antarctica"
"6437","Antarctica"
"6438","Antarctica"
"6439","Antarctica"
"6440","Antarctica"
"6441","Antarctica"
"6442","Antarctica"
"6443","Antarctica"
"6444","Antarctica"
"6445","Antarctica"
"6446","Antarctica"
"6447","Antarctica"
"6448","Antarctica"
"6449","Antarctica"
"6450","Antarctica"
"6501","Antarctica"
"6502","Antarctica"
"6503","Antigua and Barbuda"
"6504","Antigua and Barbuda"
"6505","Antigua and Barbuda"
"6506","Antigua and Barbuda"
"6507","Antigua and Barbuda"
"6508","Antigua and Barbuda"
"6509","Argentina"
"6510","Argentina"
"6511","Argentina"
"6512","Argentina"
"6513","Argentina"
"6514","Argentina"
"6515","Argentina"
"6516","Argentina"
"6517","Argentina"
"6518","Argentina"
"6519","Argentina"
"6520","Argentina"
"6521","Argentina"
"6522","Argentina"
"6523","Argentina"
"6524","Argentina"
"6525","Argentina"
"6526","Argentina"
"6527","Argentina"
"6528","Argentina"
"6529","Argentina"
"6530","Argentina"
"6531","Argentina"
"6532","Argentina"
"6533","Argentina"
"6534","Argentina"
"6535","Argentina"
"6536","Argentina"
"6537","Argentina"
"6538","Argentina"
"6539","Armenia"
"6540","Armenia"
"6541","Armenia"
"6542","Armenia"
"6543","Armenia"
"6544","Armenia"
"6545","Armenia"
"6546","Armenia"
"6547","Armenia"
"6548","Armenia"
"6549","Armenia"
"6550","Armenia"
"6601","Armenia"
"6602","Armenia"
"6603","Armenia"
"6604","Armenia"
"6605","Armenia"
"6606","Armenia"
"6607","Armenia"
"6608","Armenia"
"6609","Armenia"
"6610","Armenia"
"6611","Armenia"
"6612","Armenia"
"6613","Armenia"
"6614","Armenia"
"6615","Armenia"
"6616","Armenia"
"6617","Armenia"
"6618","Armenia"
"6619","Armenia"
"6620","Armenia"
"6621","Armenia"
"6622","Armenia"
"6623","Armenia"
"6624","Armenia"
"6625","Armenia"
"6626","Armenia"
"6627","Armenia"
"6628","Armenia"
"6629","Armenia"
"6630","Armenia"
"6631","Armenia"
"6632","Armenia"
"6633","Armenia"
"6634","Armenia"
"6635","Armenia"
"6636","Armenia"
"6637","Armenia"
"6638","Armenia"
"6639","Armenia"
"6640","Armenia"
"6641","Armenia"
"6642","Armenia"
"6643","Armenia"
"6644","Armenia"
"6645","Armenia"
"6646","Armenia"
"6647","Armenia"
"6648","Armenia"
"6649","Armenia"
"6650","Armenia"
"6701","Armenia"
"6702","Armenia"
"6703","Armenia"
"6704","Armenia"
"6705","Armenia"
"6706","Armenia"
"6707","Armenia"
"6708","Armenia"
"6709","Armenia"
"6710","Armenia"
"6711","Aruba"
"6712","Aruba"
"6713","Aruba"
"6714","Aruba"
"6715","Aruba"
"6716","Aruba"
"6717","Aruba"
"6718","Aruba"
"6719","Aruba"
"6720","Aruba"
"6721","Aruba"
"6722","Aruba"
"6723","Aruba"
"6724","Aruba"
"6725","Aruba"
"6726","Aruba"
"6727","Aruba"
"6728","Aruba"
"6729","Aruba"
"6730","Aruba"
"6731","Aruba"
"6732","Aruba"
"6733","Aruba"
"6734","Aruba"
"6735","Australia"
"6736","Australia"
"6737","Australia"
"6738","Australia"
"6739","Australia"
"6740","Australia"
"6741","Australia"
"6742","Australia"
"6743","Australia"
"6744","Australia"
"6745","Australia"
"6746","Australia"
"6747","Australia"
"6748","Australia"
"6749","Australia"
"6750","Australia"
"6801","Australia"
"6802","Australia"
"6803","Australia"
"6804","Australia"
"6805","Australia"
"6806","Australia"
"6807","Australia"
"6808","Australia"
"6809","Australia"
"6810","Australia"
"6811","Australia"
"6812","Australia"
"6813","Australia"
"6814","Australia"
"6815","Australia"
"6816","Australia"
"6817","Australia"
"6818","Australia"
"6819","Australia"
"6820","Australia"
"6821","Australia"
"6822","Australia"
"6823","Australia"
"6824","Australia"
"6825","Australia"
"6826","Australia"
"6827","Australia"
"6828","Australia"
"6829","Australia"
"6830","Australia"
"6831","Australia"
"6832","Australia"
"6833","Australia"
"6834","Australia"
"6835","Australia"
"6836","Australia"
"6837","Australia"
"6838","Australia"
"6839","Australia"
"6840","Australia"
"6841","Australia"
"6842","Australia"
"6843","Australia"
"6844","Australia"
"6845","Australia"
"6846","Australia"
"6847","Australia"
"6848","Austria"
"6849","Austria"
"6850","Austria"
"6901","Austria"
"6902","Austria"
"6903","Austria"
"6904","Austria"
"6905","Austria"
"6906","Austria"
"6907","Austria"
"6908","Austria"
"6909","Austria"
"6910","Austria"
"6911","Austria"
"6912","Austria"
"6913","Austria"
"6914","Austria"
"6915","Austria"
"6916","Austria"
"6917","Austria"
"6918","Austria"
"6919","Austria"
"6920","Austria"
"6921","Austria"
"6922","Austria"
"6923","Austria"
"6924","Austria"
"6925","Austria"
"6926","Austria"
"6927","Austria"
"6928","Azerbaijan"
"6929","Azerbaijan"
"6930","Azerbaijan"
"6931","Azerbaijan"
"6932","Azerbaijan"
"6933","Azerbaijan"
"6934","Azerbaijan"
"6935","Azerbaijan"
"6936","Azerbaijan"
"6937","Azerbaijan"
"6938","Azerbaijan"
"6939","Azerbaijan"
"6940","Azerbaijan"
"6941","Azerbaijan"
"6942","Azerbaijan"
"6943","Azerbaijan"
"6944","Azerbaijan"
"6945","Azerbaijan"
"6946","Azerbaijan"
"6947","Azerbaijan"
"6948","Azerbaijan"
"6949","Azerbaijan"
"6950","Azerbaijan"
"7001","Azerbaijan"
"7002","Azerbaijan"
"7003","Azerbaijan"
"7004","Bahamas"
"7005","Bahamas"
"7006","Bahamas"
"7007","Bahamas"
"7008","Bahamas"
"7009","Bahamas"
"7010","Bahamas"
"7011","Bahamas"
"7012","Bahamas"
"7013","Bahamas"
"7014","Bahamas"
"7015","Bahamas"
"7016","Bahamas"
"7017","Bahamas"
"7018","Bahamas"
"7019","Bahamas"
"7020","Bahamas"
"7021","Bahamas"
"7022","Bahamas"
"7023","Bahamas"
"7024","Bahamas"
"7025","Bahamas"
"7026","Bahamas"
"7027","Bahamas"
"7028","Bahrain"
"7029","Bahrain"
"7030","Bahrain"
"7031","Bahrain"
"7032","Bahrain"
"7033","Bahrain"
"7034","Bahrain"
"7035","Bahrain"
"7036","Bahrain"
"7037","Bahrain"
"7038","Bahrain"
"7039","Bahrain"
"7040","Bahrain"
"7041","Bahrain"
"7042","Bahrain"
"7043","Bahrain"
"7044","Bahrain"
"7045","Bahrain"
"7046","Bahrain"
"7047","Bahrain"
"7048","Bahrain"
"7049","Bahrain"
